City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
369,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
374,Labuhan,ID,77.77,overcast clouds,-6.8844,112.2051,DoubleFAG
375,Cabangahan,PH,82.09,broken clouds,9.0781,122.9469,Centralle District Beach Resort
377,Isabela,PH,81.03,overcast clouds,6.7085,121.9711,Isawad Resort
382,Urucara,BR,70.93,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
384,Thakurgaon,BD,71.94,scattered clouds,26.0333,88.4667,Chowdhury Khokon Fisheries Head Office
387,Sur,OM,89.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
388,Korla,CN,73.4,broken clouds,41.7597,86.1469,Gulisitan Hotel
390,Balaguer,ES,74.16,overcast clouds,41.7912,0.8109,Hotel Balaguer
393,Ende,ID,77.81,clear sky,-8.8432,121.6623,Dwi Putra Hotel - Ende
394,Mogadishu,SO,79.7,scattered clouds,2.0371,45.3438,Hotel Juba
395,Wagar,SD,88.66,broken clouds,16.1525,36.2032,
400,Loiza,PR,83.44,haze,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
401,Cap Malheureux,MU,71.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
406,Kandrian,PG,80.58,light rain,-6.2167,149.55,Kandrian Station
408,Camocim,BR,78.12,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
411,Maumere,ID,80.42,few clouds,-8.6199,122.2111,Sylvia Hotel
415,Ranong,TH,80.29,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
417,Adre,TD,83.53,few clouds,13.4667,22.2,
418,Ati,TD,92.35,broken clouds,13.2154,18.3353,
420,Tonekabon,IR,70.07,clear sky,36.8163,50.8738,Hotel Sadra
422,Tomohon,ID,70.74,scattered clouds,1.3346,124.8392,Gardenia Country Inn
425,Mabaruma,GY,74.16,broken clouds,8.2,-59.7833,Monty Brooms Guest House
437,Qunduz,AF,76.98,overcast clouds,36.729,68.857,Spin Zar cotton company
444,Canchungo,GW,76.05,broken clouds,12.0672,-16.0333,Aparthotel Napalach
445,Meiktila,MM,80.62,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
447,Filadelfia,US,78.91,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
448,Hit,IQ,82.31,few clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
452,Rincon,US,89.85,few clouds,32.296,-81.2354,Days Inn Rincon
455,Banyuwangi,ID,75.96,overcast clouds,-8.2325,114.3576,Dannu's Homestay
459,Trairi,BR,77.36,broken clouds,-3.2778,-39.2689,janelas do mar
462,Khanpur,PK,92.86,clear sky,28.6453,70.6567,Ahmad Bartan store
463,Tautira,PF,79.56,clear sky,-17.7333,-149.15,Pension Oaoa
465,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
467,Kpandae,GH,79.29,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
468,Babu,CN,74.26,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
469,Cabra,ES,73.74,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
470,Nizwa,OM,82.85,clear sky,22.9333,57.5333,Orient Apartments
474,Pedra Branca,BR,72.95,overcast clouds,-5.4542,-39.7172,Chácara Verçoza
476,Kaduna,NG,76.64,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
479,Mareeba,AU,72.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
483,Vila Do Maio,CV,72.39,few clouds,15.1333,-23.2167,Hotel Marilu
484,Umm Lajj,SA,80.17,clear sky,25.0213,37.2685,Moon light Furnished Units
487,Singaraja,ID,80.26,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
490,Mandera,KE,79.36,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
493,Candido Mendes,BR,75.45,moderate rain,-1.4467,-45.7167,Quebrada Do Mlk PJL
494,Kikwit,CD,75.36,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
497,Yilan,TW,82.36,scattered clouds,24.757,121.753,Dar Chen Hotel
499,Kupang,ID,78.4,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
500,Puerto El Triunfo,SV,84.99,broken clouds,13.2833,-88.55,Hotel Jardin
501,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
502,Yazd,IR,72.86,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
506,Yuxia,CN,70.09,overcast clouds,34.0615,108.6291,Shanchengxuan Hotel
507,Hauterive,FR,72.36,scattered clouds,46.0901,3.4459,Aletti Palace Hotel
508,Mersing,MY,77.41,broken clouds,2.4312,103.8405,Timotel Hotel
513,San Isidro,PE,73.02,few clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
519,Bam,IR,81.34,clear sky,29.106,58.357,Bam Tourist Hotel
521,Brokopondo,SR,74.89,overcast clouds,4.75,-55.1667,Matu Island
526,Negara,ID,76.96,overcast clouds,-8.3151,114.6025,Villa Maya West Bali
527,Gambela,ET,71.6,broken clouds,8.25,34.5833,Solomon Debebe Hotel
528,Dakar,SN,74.28,few clouds,14.6937,-17.4441,Novotel Dakar
530,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
531,Luis Correia,BR,77.9,overcast clouds,-2.8792,-41.6669,Hotel Amarração
533,Namatanai,PG,83.91,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
534,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
535,Salinopolis,BR,77.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
537,Lodja,CD,70.52,broken clouds,-3.4833,23.4333,
539,Sainte-Rose,GP,80.64,few clouds,16.3324,-61.6979,Villa - Duzer
541,Hervey Bay,AU,72.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
544,Jalu,LY,73.18,clear sky,29.0331,21.5482,صاحبة الفخامة
545,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
547,Axim,GH,79.63,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
548,Agadez,NE,84.56,broken clouds,19.75,10.25,
551,Pacifica,US,82.53,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
552,Marzuq,YE,74.82,clear sky,14.4,46.4667,
556,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
562,Lamont,US,93.47,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
564,Auki,SB,83.91,clear sky,-8.7676,160.7034,Auki Motel
567,Moissala,TD,76.62,broken clouds,8.3404,17.7663,
568,Kaduqli,SD,85.05,broken clouds,11.0167,29.7167,Nussyba
576,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
577,Jacareacanga,BR,71.42,few clouds,-6.2222,-57.7528,Casa do Ian😎
581,Mana,GF,76.77,broken clouds,5.6592,-53.7767,LE SAMANA
590,Ontario,US,92.66,haze,34.0633,-117.6509,Capri Motel
592,Amalner,IN,87.28,clear sky,21.05,75.0667,Government Rest House
597,Huron,US,77.56,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
600,Santa Marta,CO,85.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
601,Badou,TG,73.99,broken clouds,7.5833,0.6,Hôtel Abuta
603,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
604,Papetoai,PF,85.59,light rain,-17.4961,-149.8729,Fare Vaihere
605,Sao Felix Do Xingu,BR,70.93,clear sky,-6.6447,-51.995,Rio Xingu Camping
606,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
608,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
609,Laguna,US,93.16,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
610,Karratha,AU,73.49,clear sky,-20.7377,116.8463,ibis Styles Karratha
611,Half Moon Bay,US,83.53,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
612,Matara,LK,77.52,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
613,Bhachau,IN,80.69,clear sky,23.2833,70.35,Amrut Bagh Resort
616,Kampong Chhnang,KH,76.66,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
617,Magsaysay,PH,78.66,broken clouds,6.7667,125.1833,CLARION LULINGHAYAWAN GARDEN RESORT OPC
619,Itaituba,BR,73.18,overcast clouds,-4.2761,-55.9836,Hotel Campos
620,Ormara,PK,81.43,clear sky,25.2088,64.6357,Kenara Colony house for Rent
622,Keti Bandar,PK,80.98,clear sky,24.1447,67.4497,Haji laloo memon house
623,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
625,Biak,ID,78.58,broken clouds,-0.9131,122.8766,Penginapan Kim
627,Owase,JP,70.86,overcast clouds,34.0667,136.2,Business Hotel Phoenix
628,Ukiah,US,83.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
629,Matay,EG,79.0,broken clouds,28.419,30.7792,Nag Aespen
630,Omboue,GA,75.96,overcast clouds,-1.5746,9.2618,Hotel Olako
631,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
632,Kieta,PG,84.29,clear sky,-6.2167,155.6333,Uruna Bay Retreat
634,Waverly,US,75.13,light rain,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
635,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
637,Japura,ID,74.68,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
647,Barreiras,BR,70.43,overcast clouds,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
649,Koungheul,SN,87.42,scattered clouds,13.9833,-14.8,
651,Pyinmana,MM,78.48,overcast clouds,19.7333,96.2167,Anh Mai Daung
652,Tarakan,ID,76.5,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
653,Kourou,GF,80.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
654,Aboso,GH,75.31,overcast clouds,5.3617,-1.9473,New Atuabo
655,Gurupa,BR,73.4,overcast clouds,-1.405,-51.64,Hotel Vitória
657,Kapit,MY,74.17,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
658,Pangkalanbuun,ID,73.96,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
660,Jibuti,DJ,82.31,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
662,Grand Gaube,MU,73.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
667,Iquitos,PE,73.44,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
671,Kibala,TD,82.35,clear sky,9.1104,18.3463,hotel safari
676,Trincomalee,LK,81.72,overcast clouds,8.5711,81.2335,Welcombe Hotel
680,Inhambane,MZ,70.84,broken clouds,-23.865,35.3833,Oceano
681,Wajid,SO,74.17,broken clouds,3.8093,43.2471,xamdihotelresturant114
682,Ndioum,SN,87.69,clear sky,16.5129,-14.6471,l'hôtel samassa
689,Dwarka,IN,81.21,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
693,Adrar,MR,84.74,overcast clouds,20.5022,-10.0711,
695,Gorontalo,ID,77.7,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
697,Najran,SA,74.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
